Emp_Id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
IND02438,38%,53%,2,157,3,0,1,0,sales,low
IND28133,80%,86%,5,262,6,0,1,0,sales,medium
IND07164,11%,88%,7,272,4,0,1,0,sales,medium
IND30478,72%,87%,5,223,5,0,1,0,sales,low
IND24003,37%,52%,2,159,3,0,1,0,sales,low
IND08609,41%,50%,2,153,3,0,1,0,sales,low
IND14345,10%,77%,6,247,4,0,1,0,sales,low
IND16300,92%,85%,5,259,5,0,1,0,sales,low
IND27336,89%,100%,5,224,5,0,1,0,sales,low
IND41409,42%,53%,2,142,3,0,1,0,sales,low
IND01460,45%,54%,2,135,3,0,1,0,sales,low
IND07665,11%,81%,6,305,4,0,1,0,sales,low
IND13556,84%,92%,4,234,5,0,1,0,sales,low
IND20559,41%,55%,2,148,3,0,1,0,sales,low
IND12896,36%,56%,2,137,3,0,1,0,sales,low
IND18204,38%,54%,2,143,3,0,1,0,sales,low
IND43525,45%,47%,2,160,3,0,1,0,sales,low
IND21424,78%,99%,4,255,6,0,1,0,sales,low
IND40030,45%,51%,2,160,3,1,1,1,sales,low
IND22302,76%,89%,5,262,5,0,1,0,sales,low
IND24750,11%,83%,6,282,4,0,1,0,sales,low
IND08173,38%,55%,2,147,3,0,1,0,sales,low
IND21310,9%,95%,6,304,4,0,1,0,sales,low
IND24366,46%,57%,2,139,3,0,1,0,sales,low
IND06318,40%,53%,2,158,3,0,1,0,sales,low
IND22204,89%,92%,5,242,5,0,1,0,sales,low
IND41510,82%,87%,4,239,5,0,1,0,sales,low
IND02947,40%,49%,2,135,3,0,1,0,sales,low
IND21633,41%,46%,2,128,3,0,1,0,accounting,low
IND41210,38%,50%,2,132,3,0,1,0,accounting,low
IND17550,9%,62%,6,294,4,0,1,0,accounting,low
IND30016,45%,57%,2,134,3,0,1,0,hr,low
IND31764,40%,51%,2,145,3,0,1,0,hr,low
IND21118,45%,55%,2,140,3,0,1,0,hr,low
IND13230,84%,87%,4,246,6,0,1,0,hr,low
IND23503,10%,94%,6,255,4,0,1,0,technical,low
IND23009,38%,46%,2,137,3,0,1,0,technical,low
IND16251,45%,50%,2,126,3,0,1,0,technical,low
IND31502,11%,89%,6,306,4,0,1,0,technical,low
IND38874,41%,54%,2,152,3,0,1,0,technical,low
IND04297,87%,88%,5,269,5,0,1,0,technical,low
IND29124,45%,48%,2,158,3,0,1,0,technical,low
IND40935,40%,46%,2,127,3,0,1,0,technical,low
IND0463,10%,80%,7,281,4,0,1,0,technical,low
IND19955,9%,89%,6,276,4,0,1,0,technical,low
IND29898,84%,74%,3,182,4,0,1,0,technical,low
IND38961,40%,55%,2,147,3,0,1,0,support,low
IND44725,57%,70%,3,273,6,0,1,0,support,low
IND02198,40%,54%,2,148,3,0,1,0,support,low
IND24197,43%,47%,2,147,3,0,1,0,support,low
IND01835,13%,78%,6,152,2,0,1,0,support,low
IND09516,44%,55%,2,135,3,0,1,0,support,low
IND40870,38%,55%,2,134,3,0,1,0,support,low
IND21560,39%,54%,2,132,3,0,1,0,support,low
IND25217,10%,92%,7,307,4,0,1,0,support,low
IND37503,37%,46%,2,140,3,0,1,0,support,low
IND15216,11%,94%,7,255,4,0,1,0,support,low
IND21703,10%,81%,6,309,4,0,1,0,technical,low
IND25958,38%,54%,2,128,3,0,1,0,technical,low
IND30439,85%,100%,4,225,5,0,1,0,technical,low
IND32895,85%,91%,5,226,5,0,1,0,management,medium
IND36072,11%,93%,7,308,4,0,1,0,IT,medium
IND43578,10%,95%,6,244,5,0,1,0,IT,medium
IND30248,36%,56%,2,132,3,0,1,0,IT,medium
IND38757,11%,94%,6,286,4,0,1,0,IT,medium
IND26312,81%,70%,6,161,4,0,1,0,IT,medium
IND0234,43%,54%,2,153,3,0,1,0,product_mng,medium
IND18896,90%,98%,4,264,6,0,1,0,product_mng,medium
IND06323,76%,86%,5,223,5,1,1,0,product_mng,medium
IND09616,43%,50%,2,135,3,0,1,0,product_mng,medium
IND05081,74%,99%,2,277,3,0,1,0,IT,medium
IND20622,9%,77%,5,275,4,0,1,0,product_mng,medium
IND24625,45%,49%,2,149,3,0,1,0,product_mng,high
IND34139,9%,87%,7,295,4,0,1,0,product_mng,low
IND11972,11%,97%,6,277,4,0,1,0,product_mng,medium
IND08365,11%,79%,7,306,4,0,1,0,product_mng,medium
IND30334,10%,83%,6,295,4,0,1,0,product_mng,medium
IND36638,40%,54%,2,137,3,0,1,0,marketing,medium
IND10308,43%,56%,2,157,3,0,1,0,sales,low
IND35179,39%,56%,2,142,3,0,1,0,accounting,low
IND09604,45%,54%,2,140,3,0,1,0,support,low
IND04427,38%,49%,2,151,3,0,1,0,technical,low
IND16967,79%,59%,4,139,3,0,1,1,management,low
IND34303,84%,85%,4,249,6,0,1,0,marketing,low
IND37496,11%,77%,6,291,4,0,1,0,marketing,low
IND10898,11%,87%,6,305,4,0,1,0,marketing,low
IND36692,17%,84%,5,232,3,0,1,0,sales,low
IND19455,44%,45%,2,132,3,0,1,0,sales,low
IND27490,37%,57%,2,130,3,0,1,0,sales,low
IND17538,10%,79%,6,291,4,0,1,0,sales,low
IND24185,40%,50%,2,130,3,0,1,0,sales,low
IND36961,89%,100%,5,246,5,0,1,0,sales,low
IND02719,42%,48%,2,143,3,0,1,0,sales,low
IND05615,46%,55%,2,129,3,0,1,0,sales,low
IND09082,9%,83%,6,255,4,0,1,0,sales,low
IND24961,37%,51%,2,155,3,0,1,0,sales,low
IND27342,10%,77%,6,265,4,0,1,0,sales,low
IND27994,10%,84%,6,279,4,0,1,0,sales,low
IND10485,11%,97%,6,284,4,0,1,0,sales,low
IND16337,90%,100%,5,221,6,0,1,0,sales,medium
IND07521,38%,52%,2,154,3,0,1,0,sales,medium
IND10328,36%,52%,2,147,3,0,1,0,sales,medium
IND32485,42%,46%,2,150,3,0,1,0,sales,medium
IND34746,9%,94%,7,267,4,0,1,0,sales,medium
IND36536,43%,52%,2,158,3,0,1,0,sales,medium
IND06361,24%,46%,7,224,5,0,1,0,accounting,medium
IND12562,91%,100%,4,257,5,0,1,0,accounting,medium
IND22820,44%,50%,2,148,3,0,1,0,accounting,medium
IND27386,71%,87%,3,177,4,0,1,0,hr,medium
IND39001,40%,49%,2,155,3,0,1,0,hr,medium
IND04678,43%,47%,2,144,3,0,1,0,hr,medium
IND23073,9%,85%,6,289,4,0,1,0,hr,high
IND30104,43%,52%,2,160,3,0,1,0,technical,low
IND15117,90%,96%,4,258,5,0,1,0,technical,medium
IND38017,84%,100%,5,234,5,0,1,0,technical,medium
IND06875,37%,48%,2,137,3,0,1,0,technical,medium
IND21577,86%,68%,5,263,2,0,1,0,technical,medium
IND26914,11%,84%,6,251,4,0,1,0,technical,low
IND15804,37%,57%,2,133,3,0,1,0,technical,low
IND40954,40%,46%,2,132,3,0,1,0,technical,low
IND35990,14%,62%,4,158,4,1,1,0,technical,low
IND37669,40%,46%,2,135,3,0,1,0,technical,low
IND36618,75%,100%,4,216,6,0,1,0,technical,low
IND05008,11%,84%,6,300,5,1,1,0,support,low
IND03262,46%,49%,2,138,3,0,1,0,support,low
IND11117,11%,92%,6,260,4,0,1,0,support,low
IND28138,38%,49%,2,132,3,0,1,0,support,low
IND37226,70%,89%,3,183,5,0,1,0,support,low
IND0521,9%,82%,6,250,4,0,1,0,support,low
IND13372,37%,45%,2,151,3,0,1,0,support,low
IND17302,10%,83%,6,292,4,0,1,0,support,low
IND17471,38%,57%,2,140,3,0,1,0,support,low
IND0881,90%,100%,5,221,5,0,1,0,support,low
IND32175,44%,51%,2,138,3,0,1,0,support,low
IND39036,36%,50%,2,132,3,0,1,0,technical,low
IND04634,31%,84%,7,133,5,0,1,0,technical,low
IND19947,10%,84%,6,283,4,1,1,0,technical,low
IND02513,42%,48%,2,129,3,0,1,0,management,low
IND14819,74%,100%,4,249,5,0,1,0,IT,low
